game_id,club_id,hosting,opponent_goals,own_goals
23675961,12697.0,Home,0.0,2.0
23676481,16247.0,Home,2.0,1.0
23684451,27.0,Home,0.0,5.0
23684661,371.0,Home,3.0,0.0
23684781,190.0,Home,2.0,0.0
23684811,683.0,Home,1.0,3.0
23687641,472.0,Home,0.0,3.0
23687691,1244.0,Home,6.0,4.0
23694671,16266.0,Home,4.0,0.0
23699721,7378.0,Home,2.0,2.0
23701301,37029.0,Home,4.0,1.0
23701371,6672.0,Home,0.0,1.0
23711441,12438.0,Home,2.0,0.0
23793111,26854.0,Home,1.0,2.0
23797861,1112.0,Home,1.0,3.0
23798001,1072.0,Home,0.0,2.0
23798601,2414.0,Home,0.0,5.0
23804071,3456.0,Home,1.0,0.0
23814741,3609.0,Home,0.0,3.0
23822481,5648.0,Home,0.0,0.0
23822521,3368.0,Home,0.0,4.0
23822541,331.0,Home,1.0,1.0
23822641,714.0,Home,0.0,2.0
23822661,621.0,Home,0.0,4.0
23827861,2801.0,Home,3.0,1.0
23837321,2331.0,Home,1.0,2.0
23841891,1211.0,Home,1.0,4.0
23844931,21725.0,Home,4.0,3.0
23845041,265.0,Home,0.0,3.0
23845161,1091.0,Home,1.0,5.0
23845201,141.0,Home,0.0,1.0
23845321,3016.0,Home,4.0,0.0
23846531,10948.0,Home,3.0,0.0
23850411,141.0,Home,1.0,1.0
23850861,6992.0,Home,0.0,0.0
23851111,1090.0,Home,1.0,1.0
24228301,265.0,Home,0.0,1.0
24233281,12.0,Home,2.0,3.0
24237141,605.0,Home,1.0,1.0
24237181,441.0,Home,3.0,2.0
24239081,281.0,Home,0.0,2.0
24239191,128.0,Home,3.0,0.0
24280551,2671.0,Home,1.0,0.0
24282861,683.0,Home,0.0,0.0
24375941,1090.0,Home,0.0,1.0
24464151,3008.0,Home,3.0,5.0
24498181,605.0,Home,2.0,0.0
24498231,441.0,Home,3.0,3.0
24520131,1304.0,Home,1.0,1.0
24521141,605.0,Home,0.0,0.0
24531031,6993.0,Home,2.0,0.0
24531051,2477.0,Home,4.0,2.0
24531101,660.0,Home,0.0,2.0
24583311,1279.0,Home,3.0,1.0
24585861,11.0,Home,0.0,3.0
24595871,306.0,Home,2.0,1.0
24595991,499.0,Home,2.0,2.0
24596071,234.0,Home,2.0,1.0
24596651,1435.0,Home,2.0,3.0
24596671,1268.0,Home,0.0,2.0
24596711,133.0,Home,1.0,0.0
24596731,1090.0,Home,2.0,2.0
24596931,1304.0,Home,2.0,1.0
24597071,133.0,Home,2.0,0.0
24597171,1269.0,Home,1.0,3.0
24597271,383.0,Home,0.0,2.0
24597371,798.0,Home,2.0,0.0
24597591,1455.0,Home,0.0,0.0
24597891,133.0,Home,1.0,2.0
24598141,1268.0,Home,1.0,0.0
24598201,499.0,Home,1.0,3.0
24598361,202.0,Home,2.0,2.0
24598661,306.0,Home,1.0,1.0
24598721,202.0,Home,1.0,1.0
24598751,234.0,Home,4.0,1.0
24602961,11.0,Home,1.0,2.0
24603021,1039.0,Home,1.0,0.0
24605121,2531.0,Home,0.0,4.0
24605291,22832.0,Home,1.0,2.0
24605361,8956.0,Home,1.0,3.0
24605441,42246.0,Home,1.0,0.0
24605651,3649.0,Home,4.0,0.0
24605721,11976.0,Home,2.0,0.0
24606221,602.0,Home,2.0,0.0
24606341,127.0,Home,2.0,2.0
24606431,41.0,Home,3.0,0.0
24606841,18.0,Home,1.0,1.0
24606921,42.0,Home,3.0,0.0
24607071,27.0,Home,1.0,2.0
24607131,41.0,Home,0.0,1.0
24607161,16.0,Home,0.0,1.0
24607171,15.0,Home,0.0,0.0
24607191,167.0,Home,0.0,3.0
24607281,39.0,Home,2.0,2.0
24607371,167.0,Home,1.0,3.0
24607691,127.0,Home,2.0,1.0
24607861,79.0,Home,1.0,0.0
24608051,3.0,Home,0.0,0.0
24608151,33.0,Home,1.0,1.0
24608171,39.0,Home,1.0,3.0
24608321,24.0,Home,1.0,2.0
24608551,60.0,Home,0.0,2.0
24608581,3.0,Home,1.0,1.0
24608661,86.0,Home,0.0,0.0
24608701,33.0,Home,0.0,0.0
24608741,79.0,Home,2.0,3.0
24608801,82.0,Home,1.0,1.0
24608841,86.0,Home,0.0,1.0
24609021,44.0,Home,2.0,1.0
24609081,42.0,Home,1.0,1.0
24609121,3.0,Home,0.0,2.0
24609131,127.0,Home,3.0,1.0
24647731,2424.0,Home,3.0,1.0
24647781,2995.0,Home,1.0,0.0
24647961,1301.0,Home,0.0,2.0
24648001,1085.0,Home,5.0,0.0
24654471,44687.0,Home,3.0,1.0
24654531,13642.0,Home,1.0,2.0
24654571,9547.0,Home,1.0,0.0
24654921,669.0,Home,0.0,3.0
24668731,1085.0,Home,1.0,0.0
24691241,10854.0,Home,1.0,0.0
24692031,1092.0,Home,0.0,4.0
24694191,190.0,Home,1.0,2.0
24694411,20100.0,Home,2.0,2.0
24695371,1301.0,Home,0.0,4.0
24695391,2995.0,Home,1.0,1.0
24695421,8024.0,Home,1.0,0.0
24698701,968.0,Home,0.0,1.0
24699341,36.0,Home,2.0,3.0
24699581,2293.0,Home,1.0,1.0
24699931,3216.0,Home,2.0,4.0
24700151,141.0,Home,3.0,0.0
24700261,6894.0,Home,0.0,4.0
24700671,20.0,Home,1.0,3.0
24700931,36.0,Home,0.0,0.0
24702451,3216.0,Home,1.0,2.0
24702561,126.0,Home,0.0,3.0
24702671,126.0,Home,1.0,2.0
24703301,6890.0,Home,1.0,2.0
24734511,4171.0,Home,0.0,2.0
24734601,2239.0,Home,2.0,3.0
